query_annot,query_label,query_url,rank,neighbor_annot,neighbor_label,neighbor_url,distance
2562748,,,1,48faa86aa,,48faa86aa.jpg,0.20101964473724365
2562748,,https://www.inaturalist.org/photos/2562748,2,1467eb17c,,1467eb17c.jpg,0.21151608228683472
2562748,,https://www.inaturalist.org/photos/2562748,3,f104b0e52,,f104b0e52.jpg,0.22051799297332764
5026362,,https://www.inaturalist.org/photos/5026362,1,4fd6d24f5,,4fd6d24f5.jpg,0.1789853572845459
5026362,,https://www.inaturalist.org/photos/5026362,2,f157ddd53,,f157ddd53.jpg,0.4166203737258911
5026362,,https://www.inaturalist.org/photos/5026362,3,698817b38,,698817b38.jpg,0.4443501830101013
6743055,,https://www.inaturalist.org/photos/6743055,1,fc54d12aa,,fc54d12aa.jpg,0.4286801815032959
6743055,,https://www.inaturalist.org/photos/6743055,2,c025fed82,,c025fed82.jpg,0.44449925422668457
6743055,,https://www.inaturalist.org/photos/6743055,3,0dcf2fcf0,,0dcf2fcf0.jpg,0.45171457529067993
7535543,,https://www.inaturalist.org/photos/7535543,1,3705756bc,,3705756bc.jpg,0.2721594572067261
7535543,,https://www.inaturalist.org/photos/7535543,2,21bd9ddf4,,21bd9ddf4.jpg,0.3293316960334778
7535543,,https://www.inaturalist.org/photos/7535543,3,5edbbabc5,,5edbbabc5.jpg,0.35117650032043457
7535547,,https://www.inaturalist.org/photos/7535547,1,d77d97b9f,,d77d97b9f.jpg,0.28548645973205566
7535547,,https://www.inaturalist.org/photos/7535547,2,fe336c1d4,,fe336c1d4.jpg,0.31315886974334717
7535547,,https://www.inaturalist.org/photos/7535547,3,cb0f204be,,cb0f204be.jpg,0.390633761882782
7535549,,https://www.inaturalist.org/photos/7535549,1,fe336c1d4,,fe336c1d4.jpg,0.13592451810836792
7535549,,https://www.inaturalist.org/photos/7535549,2,d77d97b9f,,d77d97b9f.jpg,0.19908428192138672
7535549,,https://www.inaturalist.org/photos/7535549,3,c98246175,,c98246175.jpg,0.3011770248413086
8533457,,https://www.inaturalist.org/photos/8533457,1,62b62d95e,,62b62d95e.jpg,0.21178698539733887
8533457,,https://www.inaturalist.org/photos/8533457,2,00ccb53ec,,00ccb53ec.jpg,0.2900141477584839
8533457,,https://www.inaturalist.org/photos/8533457,3,b2928ff63,,b2928ff63.jpg,0.29467809200286865
8533470,,https://www.inaturalist.org/photos/8533470,1,df07477d3,,df07477d3.jpg,0.14677250385284424
8533470,,https://www.inaturalist.org/photos/8533470,2,7fb338aa0,,7fb338aa0.jpg,0.17685139179229736
8533470,,https://www.inaturalist.org/photos/8533470,3,34b486a84,,34b486a84.jpg,0.19796830415725708
10106537,,https://www.inaturalist.org/photos/10106537,1,0179e07f2,,0179e07f2.jpg,0.22733354568481445
10106537,,https://www.inaturalist.org/photos/10106537,2,9c6ea2573,,9c6ea2573.jpg,0.5893440842628479
10106537,,https://www.inaturalist.org/photos/10106537,3,d074090da,,d074090da.jpg,0.5955638289451599
16335765,,https://www.inaturalist.org/photos/16335765,1,d14c4714a,,d14c4714a.jpg,0.14773869514465332
16335765,,https://www.inaturalist.org/photos/16335765,2,d51a9f9e4,,d51a9f9e4.jpg,0.16558843851089478
16335765,,https://www.inaturalist.org/photos/16335765,3,4bfe3d0d0,,4bfe3d0d0.jpg,0.17481017112731934
16335779,,https://www.inaturalist.org/photos/16335779,1,208b8e125,,208b8e125.jpg,0.07599687576293945
16335779,,https://www.inaturalist.org/photos/16335779,2,a8151fe7c,,a8151fe7c.jpg,0.09011584520339966
16335779,,https://www.inaturalist.org/photos/16335779,3,120105235,,120105235.jpg,0.09313786029815674
18695138,,https://www.inaturalist.org/photos/18695138,1,300cf57a9,,300cf57a9.jpg,0.14716452360153198
18695138,,https://www.inaturalist.org/photos/18695138,2,7dda85fa3,,7dda85fa3.jpg,0.15310347080230713
18695138,,https://www.inaturalist.org/photos/18695138,3,39348b162,,39348b162.jpg,0.21907001733779907
19269432,,https://www.inaturalist.org/photos/19269432,1,af775bf1d,,af775bf1d.jpg,0.49740904569625854
19269432,,https://www.inaturalist.org/photos/19269432,2,6a54990f0,,6a54990f0.jpg,0.516318142414093
19269432,,https://www.inaturalist.org/photos/19269432,3,8a6fff4ff,,8a6fff4ff.jpg,0.5191444158554077
25128302,,https://www.inaturalist.org/photos/25128302,1,71418eab9,,71418eab9.jpg,0.4172183871269226
25128302,,https://www.inaturalist.org/photos/25128302,2,a4290c7c2,,a4290c7c2.jpg,0.41764718294143677
25128302,,https://www.inaturalist.org/photos/25128302,3,29b9ba9b5,,29b9ba9b5.jpg,0.42560452222824097
26077575,,https://www.inaturalist.org/photos/26077575,1,d77d97b9f,,d77d97b9f.jpg,0.42231494188308716
26077575,,https://www.inaturalist.org/photos/26077575,2,f9307592c,,f9307592c.jpg,0.42976152896881104
26077575,,https://www.inaturalist.org/photos/26077575,3,aadafc09e,,aadafc09e.jpg,0.4381858706474304
26077591,,https://www.inaturalist.org/photos/26077591,1,3671adf0d,,3671adf0d.jpg,0.1674795150756836
26077591,,https://www.inaturalist.org/photos/26077591,2,73182b3e5,,73182b3e5.jpg,0.19324266910552979
26077591,,https://www.inaturalist.org/photos/26077591,3,0ba05e099,,0ba05e099.jpg,0.19909071922302246
31660240,,https://www.inaturalist.org/photos/31660240,1,44567f3b5,,44567f3b5.jpg,0.4384331703186035
31660240,,https://www.inaturalist.org/photos/31660240,2,000f0f2bf,,000f0f2bf.jpg,0.4409925937652588
31660240,,https://www.inaturalist.org/photos/31660240,3,eef7017b5,,eef7017b5.jpg,0.4451393485069275
42972893,,https://www.inaturalist.org/photos/42972893,1,ef3f5329a,,ef3f5329a.jpg,0.12277770042419434
42972893,,https://www.inaturalist.org/photos/42972893,2,144812b75,,144812b75.jpg,0.1406092643737793
42972893,,https://www.inaturalist.org/photos/42972893,3,f6ceb1151,,f6ceb1151.jpg,0.17595022916793823
43994072,,https://www.inaturalist.org/photos/43994072,1,82d7754a9,,82d7754a9.jpg,0.35787415504455566
43994072,,https://www.inaturalist.org/photos/43994072,2,adf2052e7,,adf2052e7.jpg,0.36606287956237793
43994072,,https://www.inaturalist.org/photos/43994072,3,0ebeadd21,,0ebeadd21.jpg,0.381994366645813
44083325,,https://www.inaturalist.org/photos/44083325,1,774f9b712,,774f9b712.jpg,0.17984455823898315
44083325,,https://www.inaturalist.org/photos/44083325,2,3bb8b5522,,3bb8b5522.jpg,0.21316367387771606
44083325,,https://www.inaturalist.org/photos/44083325,3,6d5986b1d,,6d5986b1d.jpg,0.35403865575790405
44982644,,https://www.inaturalist.org/photos/44982644,1,fe0adcf44,,fe0adcf44.jpg,0.19489705562591553
44982644,,https://www.inaturalist.org/photos/44982644,2,a07de7444,,a07de7444.jpg,0.2872600555419922
44982644,,https://www.inaturalist.org/photos/44982644,3,c94465f32,,c94465f32.jpg,0.28784263134002686
47180590,,https://www.inaturalist.org/photos/47180590,1,562e97ded,,562e97ded.jpg,0.1946374773979187
47180590,,https://www.inaturalist.org/photos/47180590,2,1bb486b25,,1bb486b25.jpg,0.21848565340042114
47180590,,https://www.inaturalist.org/photos/47180590,3,a5152b724,,a5152b724.jpg,0.25852179527282715
49106441,,https://www.inaturalist.org/photos/49106441,1,5f4c98e03,,5f4c98e03.jpg,0.457334041595459
49106441,,https://www.inaturalist.org/photos/49106441,2,8922e7b49,,8922e7b49.jpg,0.46402204036712646
49106441,,https://www.inaturalist.org/photos/49106441,3,30558cc79,,30558cc79.jpg,0.47787564992904663
49327463,,https://www.inaturalist.org/photos/49327463,1,ab65a3974,,ab65a3974.jpg,0.3717910051345825
49327463,,https://www.inaturalist.org/photos/49327463,2,1da636904,,1da636904.jpg,0.42870306968688965
49327463,,https://www.inaturalist.org/photos/49327463,3,56850b285,,56850b285.jpg,0.45611417293548584
49327468,,https://www.inaturalist.org/photos/49327468,1,ab65a3974,,ab65a3974.jpg,0.22539305686950684
49327468,,https://www.inaturalist.org/photos/49327468,2,0648b2a7c,,0648b2a7c.jpg,0.4212435483932495
49327468,,https://www.inaturalist.org/photos/49327468,3,56850b285,,56850b285.jpg,0.4297600984573364
50530248,,https://www.inaturalist.org/photos/50530248,1,c1c1d87f8,,c1c1d87f8.jpg,0.45017653703689575
50530248,,https://www.inaturalist.org/photos/50530248,2,470462ede,,470462ede.jpg,0.4614499807357788
50530248,,https://www.inaturalist.org/photos/50530248,3,4268fd0b3,,4268fd0b3.jpg,0.48544102907180786
52396599,,https://www.inaturalist.org/photos/52396599,1,cff957eb6,,cff957eb6.jpg,0.5148522257804871
52396599,,https://www.inaturalist.org/photos/52396599,2,e65f62572,,e65f62572.jpg,0.520224928855896
52396599,,https://www.inaturalist.org/photos/52396599,3,909cf2f40,,909cf2f40.jpg,0.5261077284812927
53948037,,https://www.inaturalist.org/photos/53948037,1,045793afd,,045793afd.jpg,0.4640830159187317
53948037,,https://www.inaturalist.org/photos/53948037,2,f2b203bf5,,f2b203bf5.jpg,0.4793442487716675
53948037,,https://www.inaturalist.org/photos/53948037,3,6b6c74cc4,,6b6c74cc4.jpg,0.4811009168624878
